Wilderness_Area,Id,Elevation,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,Hillshade_3pm,Cover_Type,Soil_Type,Hillshade_Noon,Vertical_Distance_To_Hydrology,Slope,Horizontal_Distance_To_Hydrology,Hillshade_9am,Aspect
1,45,2678,1660,6546,141,2,12,236,23,5,95,229,128
1,46,2529,666,5484,130,5,18,225,-5,8,210,228,68
1,47,2524,684,5474,130,5,18,229,-4,7,212,232,94
1,48,2536,659,5475,136,5,18,232,0,6,234,230,99
1,49,2498,900,5357,135,5,18,227,7,6,95,227,66
1,50,2489,810,5334,131,5,18,231,13,7,85,232,100
1,51,2713,3297,6039,48,5,30,198,17,30,60,254,117
1,52,2739,3118,6219,192,1,29,205,43,25,85,149,323
1,53,2696,3271,6071,149,1,30,234,0,2,30,222,72
1,54,2510,891,5325,106,5,18,215,19,14,192,237,79
1,55,2502,912,5316,129,5,18,227,11,7,175,230,81
1,56,2722,3216,6132,200,1,16,212,19,24,30,148,315
1,57,2500,930,5279,116,5,18,219,9,11,190,233,74
1,58,2486,870,5262,139,5,18,230,-4,5,180,225,68
1,59,2489,840,5254,153,5,18,232,13,4,175,216,11
1,60,2489,810,5247,141,5,18,227,13,6,162,221,42
1,61,2490,810,5218,137,5,18,230,17,5,134,227,75
1,62,2952,5845,3509,116,2,29,226,7,11,42,239,107
1,63,2705,2023,6615,129,2,12,228,22,8,134,232,90
1,64,2507,930,5221,138,5,18,224,10,7,153,221,40
1,65,2500,870,5205,116,5,18,210,27,14,150,225,49
1,66,2493,840,5197,124,5,18,221,20,10,127,229,63
1,67,2509,900,5184,134,5,18,226,10,7,134,226,59
1,68,2919,5321,4060,142,1,29,214,6,13,90,207,13
1,69,2740,2287,6686,138,2,12,227,42,6,218,224,54
1,70,2640,1092,5866,127,2,29,225,-2,8,180,231,80
1,71,2843,4434,4956,144,2,30,244,53,12,242,230,166
1,72,3008,6371,3036,116,2,29,208,10,14,277,223,45
1,73,2893,5066,4340,102,2,29,223,30,16,108,245,114
1,74,2850,4858,4548,151,2,16,223,0,9,0,210,6
1,75,2628,960,5645,136,2,29,218,19,10,240,217,30
1,76,2864,4567,4849,93,2,30,221,74,18,201,248,118
1,77,2827,3948,5474,108,2,30,233,65,28,134,235,160
1,78,2529,1062,5047,166,2,16,234,14,5,30,207,326
1,79,2808,3107,6341,130,1,12,230,95,7,382,233,99
1,80,2840,4613,4833,102,2,30,231,42,26,134,241,153
1,81,2795,2980,6497,121,1,20,223,96,10,531,233,79
1,82,2746,2440,6597,119,2,12,235,22,16,67,241,143
1,83,2847,3697,5796,152,1,29,187,82,26,150,166,352
1,84,2840,3552,5944,140,1,12,210,88,14,216,206,14
1,85,2537,1132,4919,137,2,18,224,17,7,210,222,42
1,86,2860,3705,5800,151,1,29,206,98,17,175,191,358
1,87,2818,4526,4978,181,2,29,197,17,26,30,151,332
1,88,2801,3084,6457,148,2,12,226,58,7,560,215,18
1,89,2791,2942,6606,124,2,12,221,48,10,418,229,63
1,90,2745,2416,6428,184,2,29,234,24,11,67,190,306
1,91,2514,1082,4811,137,2,18,233,-5,6,272,230,102
1,92,2788,4126,5396,137,2,29,206,8,16,30,203,13
1,93,2562,1057,5031,156,2,30,218,9,12,67,200,354
1,94,3073,6836,2735,149,2,29,246,-3,12,108,227,173
1,95,2978,5742,3792,121,2,29,221,85,10,426,231,71
1,96,2860,3644,5904,135,1,12,218,98,10,295,218,31
1,97,3067,6811,2774,144,2,29,243,7,11,85,230,164
1,98,2804,3115,6471,141,2,12,231,61,5,543,225,72
1,99,2562,1116,5091,148,2,16,233,0,3,0,221,59
1,100,2567,1136,4924,138,2,18,221,16,9,190,219,34
1,101,2998,5842,3721,134,2,29,222,16,8,351,223,45
1,102,2684,1677,5693,113,2,29,220,2,12,150,237,84
1,103,2676,1634,5655,128,2,29,216,-5,11,150,222,42
1,104,2863,4389,5184,100,1,29,219,71,15,190,244,102
1,105,2574,1180,4910,153,2,18,242,23,5,170,224,170
1,106,2511,1071,4660,166,2,18,245,30,6,162,216,211
1,107,3067,6679,2947,147,2,20,230,-2,4,30,219,32
1,108,2909,5502,4084,102,2,29,203,23,16,134,229,57
1,109,2863,3918,5695,161,1,29,216,89,14,309,193,348
1,110,2567,1266,5079,158,2,16,237,0,1,0,216,333
1,111,3182,6000,1184,115,1,29,226,33,11,408,240,105
1,112,2818,4156,5467,177,1,16,227,26,12,242,189,324
1,113,2752,2372,6131,165,2,12,233,24,6,342,207,332
1,114,2751,2322,6088,137,2,12,231,30,5,400,228,88
1,115,2569,1266,4844,132,2,18,231,18,7,228,232,102
1,116,3195,5941,1206,101,1,29,222,46,15,469,245,111
1,117,2982,5756,3880,112,2,29,209,63,14,240,227,53
1,118,2850,4394,5239,137,1,29,227,58,6,295,225,58
1,119,2586,1290,4875,143,2,18,232,30,4,190,225,76
1,120,2837,4241,5428,138,1,29,211,45,13,330,208,17
1,121,2723,2109,5793,136,2,12,232,34,6,301,230,99
1,122,3070,6890,2858,153,2,29,220,-6,11,30,204,0
1,123,3057,6508,3211,118,2,29,231,53,12,150,240,124
1,124,2818,5213,4497,92,2,29,220,10,19,30,248,119
1,125,2847,4983,4727,199,2,29,190,39,33,85,120,320
1,126,2606,1584,5106,119,2,16,228,4,11,30,239,112
1,127,2893,4011,5755,135,2,12,230,101,6,551,229,83
1,128,2716,2100,5581,153,2,12,222,27,10,234,206,1
1,129,2644,1719,5168,90,2,29,221,25,20,67,249,125
1,130,2613,1519,4818,146,2,12,229,34,5,216,220,37
1,131,2929,5757,4017,155,2,24,219,0,12,0,201,356
1,132,2767,2796,6192,186,2,29,233,8,12,30,187,307
1,133,2991,6199,3613,117,1,24,211,0,13,85,225,49
1,134,2939,5563,4224,98,2,24,200,20,18,95,229,56
1,135,2537,1583,4509,148,2,16,216,0,12,0,205,7
1,136,3119,6660,2556,133,2,29,234,10,7,162,233,119
1,137,2942,5918,3900,162,1,24,221,3,12,30,197,346
1,138,2886,4295,5518,150,1,29,226,94,7,570,213,12
1,139,2775,2854,6177,164,2,29,219,7,13,42,194,344
1,140,2490,878,4184,124,2,18,224,13,9,240,232,79
1,141,3106,5984,1655,196,1,29,254,108,18,658,191,228
1,142,2831,5208,4611,222,2,24,232,23,24,60,145,284
1,143,2837,3649,6221,128,2,12,231,16,8,272,235,112
1,144,2890,5104,4734,212,2,24,224,79,23,180,150,299
1,145,2824,3583,6316,144,2,20,238,6,5,218,227,135
1,146,2728,2250,5515,150,2,12,238,32,3,242,224,135
1,147,2962,6095,3811,95,1,24,212,23,16,190,242,88
1,148,3142,6216,1989,179,2,29,251,69,11,424,207,220
1,149,2847,3757,6194,154,2,20,229,10,6,175,212,2
1,150,2536,1242,4201,146,2,18,228,16,5,242,219,34
1,151,3168,4884,1239,136,1,29,231,0,6,30,229,95
1,152,2926,5126,4814,220,1,24,228,99,24,210,145,289
1,153,2893,4106,5865,148,2,12,227,36,6,295,216,21
1,154,2687,1986,4936,140,2,12,217,39,11,150,212,20
1,155,3109,6089,2017,181,2,29,254,55,17,424,204,211
1,156,3119,6297,2377,172,2,29,253,0,20,60,208,200
1,157,2916,4472,5502,160,1,29,223,36,10,488,202,349
1,158,2795,3042,6073,153,2,12,233,17,3,218,217,18
1,159,2555,1231,4159,109,2,18,209,19,14,285,230,58
1,160,2499,953,3950,123,2,18,212,-7,13,497,222,42
1,161,3027,5678,1900,149,1,29,245,42,11,335,227,173
1,162,3096,6156,2310,135,1,29,242,16,15,85,234,160
1,163,2916,5618,4417,108,2,29,223,89,13,268,242,105
1,164,2591,1398,4224,125,2,29,213,22,12,350,222,42
1,165,3185,4763,1392,180,1,29,219,13,16,127,178,328
1,166,3021,5675,1937,177,1,29,250,39,10,324,208,221
1,167,3083,6363,2873,171,2,29,242,-25,4,510,209,257
1,168,2860,5292,4759,240,2,24,226,33,33,60,115,276
1,169,3008,5535,1924,166,2,23,251,20,15,228,215,196
1,170,3034,5754,2012,160,1,29,250,66,14,384,220,189
1,171,2873,4030,6091,110,2,30,230,16,16,67,244,130
1,172,3182,4767,1513,118,1,29,211,7,13,319,225,49
1,173,2998,6026,4121,114,2,29,225,158,12,384,239,102
1,174,2658,1597,4286,149,2,29,199,54,20,300,184,357
1,175,3175,4816,1584,149,1,29,226,92,7,366,214,15
1,176,2952,4953,5192,152,1,20,227,125,7,488,212,8
1,177,2622,1329,4086,112,2,29,222,39,12,484,239,95
1,178,2955,5224,4968,215,2,24,233,128,21,247,156,288
1,179,2837,3655,6341,124,2,20,221,23,9,201,229,66
1,180,3182,4723,1661,149,1,29,232,109,3,458,220,45
1,181,3077,6296,3261,147,2,29,237,43,3,618,225,129
1,182,2755,2890,5468,165,2,12,236,-1,4,30,209,320
1,183,3047,6414,3540,134,1,29,215,13,11,600,216,28
1,184,2880,4369,5906,113,2,30,221,3,12,30,237,86
1,185,3221,4401,1710,165,1,29,238,49,3,424,212,292
1,186,3182,4605,1768,124,1,29,231,10,10,553,237,115
1,187,3064,5051,2148,104,1,29,182,46,24,150,204,29
1,188,2827,3599,6067,174,2,29,221,9,15,42,185,332
1,189,2518,553,3522,139,2,18,234,39,5,360,229,107
1,190,3050,5782,2721,156,1,29,242,-3,4,277,221,180
1,191,3107,4855,2069,155,1,29,219,89,12,283,201,356
1,192,2995,6312,4135,146,2,30,246,135,15,268,228,173
1,193,2721,1747,4191,152,2,12,241,-2,4,67,224,164
1,194,3182,4425,1854,133,1,29,233,10,7,579,233,116
1,195,2724,2720,4875,124,2,12,234,-2,11,60,238,132
1,196,2515,511,3451,125,2,18,227,39,9,313,233,90
1,197,3017,5118,2352,92,1,29,188,52,22,212,221,46
1,198,3077,6230,3734,170,2,29,242,210,4,618,210,256
1,199,2929,4393,6106,165,2,12,228,39,8,190,202,338
1,200,2735,2806,4924,120,2,12,232,6,12,67,240,127
1,201,2893,5825,4667,192,2,24,217,43,20,150,164,319
1,202,3231,4173,1921,147,1,29,231,59,4,648,221,45
1,203,2560,731,3505,120,2,29,224,34,10,218,235,89
1,204,3162,4657,2188,115,1,29,205,144,15,484,221,43
1,205,2982,5501,2750,160,1,29,250,-2,14,120,220,188
1,206,2731,2826,4873,141,2,20,230,0,5,0,225,66
1,207,3172,4287,2037,123,1,20,215,0,11,759,225,50
1,208,2916,6349,4206,98,2,29,227,49,21,127,247,138
1,209,2890,3670,5757,96,2,30,202,35,17,153,233,63
1,210,2704,1323,3734,130,2,12,219,22,10,323,223,45
1,211,3198,4545,2285,124,1,29,200,180,18,604,207,23
1,212,2985,5495,3195,166,2,29,245,63,5,342,215,214
1,213,3011,5838,4910,188,2,24,214,161,21,443,164,323
1,214,3024,5785,4961,194,2,24,224,177,18,474,169,312
1,215,2763,2850,4788,148,2,24,216,17,12,85,205,7
1,216,3244,3865,2225,104,1,40,204,76,16,618,229,56
1,217,2955,5167,2819,149,1,16,221,10,10,85,209,9
1,218,3201,4136,2289,143,1,23,213,180,13,984,205,10
1,219,2972,5113,2816,90,1,29,176,0,25,30,209,36
1,220,2985,5571,3519,144,2,29,244,66,13,458,230,167
1,221,2539,488,3115,125,2,29,201,15,17,90,207,23
1,222,3001,5790,3903,183,2,29,245,134,8,720,200,260
1,223,2952,5123,2960,126,1,16,218,16,10,150,225,51
1,224,2962,5365,3337,177,2,29,252,43,13,255,209,211
1,225,3004,5068,5840,152,1,12,217,85,12,484,202,0
1,226,2727,2285,4245,147,2,12,231,21,4,124,221,45
1,227,3004,5798,4031,137,2,29,244,137,17,603,232,167
1,228,2886,3849,5557,144,2,29,222,31,8,285,215,22
1,229,3024,5201,5764,163,1,12,227,105,8,600,203,344
1,230,3034,6084,4921,158,2,30,249,148,14,335,221,187
1,231,2903,4179,5904,197,2,29,241,26,13,190,184,279
1,232,2926,5180,3331,169,1,23,243,7,4,30,212,245
1,233,2942,5276,3470,170,2,29,252,23,16,180,212,200
1,234,2991,4849,6214,115,2,12,211,65,13,495,227,54
1,235,2742,2475,4314,126,2,12,231,21,9,150,236,116
1,236,2606,911,3174,152,2,29,205,26,18,67,188,356
1,237,3244,3730,2460,166,1,23,234,53,5,750,207,326
1,238,3237,4002,2506,130,1,23,210,36,14,997,213,27
1,239,2616,977,3186,142,2,29,187,15,24,42,176,359
1,240,2913,3974,5568,142,2,29,217,58,11,457,211,16
1,241,2813,3018,4729,137,2,24,225,35,7,201,223,48
1,242,2530,234,2726,154,2,29,238,51,1,319,221,149
1,243,3260,3558,2531,138,1,40,225,69,7,503,222,45
1,244,3047,5484,5635,146,2,12,234,128,3,870,224,90
1,245,2955,4934,3248,88,1,29,195,33,20,201,231,60
1,246,2893,6012,4682,107,2,29,215,7,13,85,236,77
1,247,2965,4883,3315,92,1,29,181,49,24,247,212,38
1,248,3037,5985,5238,191,2,29,252,151,15,570,196,230
1,249,3027,5316,5912,138,2,12,240,108,10,792,233,152
1,250,2756,2501,4210,100,2,12,208,35,16,120,235,70
1,251,2939,4078,5584,167,2,20,234,62,6,510,206,325
1,252,3198,4200,2858,130,1,19,234,23,9,418,235,126
1,253,3195,4243,2880,132,1,23,229,20,7,362,231,90
1,254,2975,5719,4519,169,2,29,245,89,6,360,213,222
1,255,2890,5918,4761,108,2,30,218,4,13,30,238,84
1,256,3018,5833,5486,121,2,29,229,132,10,815,238,109
1,257,3011,5389,5975,137,2,12,231,85,5,842,228,85
1,258,3221,3968,2868,96,1,23,210,20,16,618,239,79
1,259,3004,5383,6017,138,2,29,237,78,7,811,231,135
1,260,2572,391,2509,94,2,29,192,53,20,384,224,49
1,261,3260,3824,2854,124,1,23,233,46,11,743,238,128
1,262,3168,4426,3180,150,1,20,231,0,4,30,218,25
1,263,2878,3489,4924,161,2,29,220,0,12,67,198,349
1,264,3198,4099,3076,150,1,19,224,23,8,301,211,9
1,265,2975,6071,5262,183,2,29,245,66,8,391,200,260
1,266,3178,4286,3248,131,1,29,217,0,10,0,220,38
1,267,2995,6068,5533,152,2,29,246,86,10,690,226,176
1,268,2913,5478,4733,139,2,30,239,20,8,210,232,144
1,269,2982,5267,6500,153,1,12,245,56,9,424,225,175
1,270,2945,5877,5354,173,2,29,251,36,12,362,211,209
1,271,2995,5459,6349,151,1,29,238,23,2,631,223,143
1,272,2942,4830,6062,156,2,20,233,0,3,0,215,0
1,273,2945,4801,6034,173,2,20,239,0,5,0,205,288
1,274,2959,4683,5920,180,2,12,240,14,8,120,199,288
1,275,2796,2599,3934,111,2,12,226,8,13,60,242,114
1,276,2785,2486,3829,161,2,23,237,-2,2,60,214,315
1,277,2784,1798,3198,182,2,30,220,33,17,153,177,325
1,278,2789,1771,3174,183,2,30,225,50,15,182,181,320
1,279,2922,5076,4536,129,2,30,241,22,19,240,235,162
1,280,3008,5727,6096,150,2,29,238,36,3,931,224,135
1,281,2978,5160,6368,121,2,29,221,49,10,323,232,73
1,282,2892,3178,4457,123,2,12,217,12,11,134,226,54
1,283,2521,408,2066,129,2,20,218,2,10,42,223,45
1,284,2985,5372,6482,133,1,29,227,13,7,497,228,72
1,285,3057,4435,3955,107,1,29,196,144,19,626,217,39
1,286,2829,2941,4187,123,2,23,223,8,9,60,232,78
1,287,3201,4002,3460,164,1,20,234,0,5,0,208,331
1,288,3136,4228,3798,175,1,29,223,-13,13,789,187,329
1,289,2548,551,2058,155,2,20,215,7,14,60,197,355
1,290,2962,4891,6046,122,2,12,225,3,9,42,234,89
1,291,2808,2431,3651,141,2,12,213,20,13,201,208,15
1,292,2749,1499,2797,111,2,12,220,43,12,516,238,87
1,293,3155,4184,3871,177,1,29,222,-19,14,849,185,328
1,294,2991,5939,6068,191,2,20,240,98,11,849,189,285
1,295,2968,4113,5265,138,2,12,234,49,5,306,229,108
1,296,2932,3911,5067,108,2,30,216,21,13,108,236,77
1,297,2808,2592,3757,157,2,23,227,3,7,153,209,356
1,298,2794,1888,3079,142,1,12,234,37,4,210,227,106
1,299,3080,4377,4176,125,1,29,201,167,17,659,208,24
1,300,2936,4656,4456,105,1,23,203,27,16,180,227,52
1,301,2913,5706,5517,187,2,29,245,10,10,313,197,261
1,302,2919,5728,5539,178,2,29,248,19,8,323,207,232
1,303,2978,4795,5905,177,2,12,244,13,6,85,205,257
1,304,2574,636,1924,187,2,30,229,32,14,134,183,312
1,305,3142,4155,4070,85,1,29,192,-32,21,730,231,59
1,306,2804,1917,3031,144,1,12,219,47,10,212,211,15
1,307,2595,799,2010,144,2,30,212,19,14,42,204,9
1,308,2929,5835,5776,177,2,29,247,33,8,366,208,232
1,309,3001,5961,6227,184,2,29,247,101,9,764,201,246
1,310,2813,1800,2872,132,2,30,230,56,7,371,231,94
1,311,2988,4805,5836,162,2,12,231,26,6,192,208,342
1,312,3175,4042,4184,96,1,23,200,0,18,612,231,59
1,313,2861,2980,3972,155,2,30,228,10,6,134,211,0
1,314,2804,1838,2825,133,2,30,225,10,7,362,226,61
1,315,3001,5320,6310,118,1,12,221,29,10,335,234,78
1,316,2914,3471,4430,135,2,12,238,18,9,277,234,141
1,317,2668,1276,2240,110,2,30,200,68,17,283,219,41
1,318,3185,3899,4273,121,1,29,233,10,12,481,240,129
1,319,2913,5715,5983,173,1,16,249,20,9,268,211,216
1,320,3168,3855,4394,138,1,23,230,-6,5,418,226,72
1,321,2955,4478,5370,137,2,20,220,3,9,30,218,30
1,322,2932,4280,5166,131,2,19,231,-6,7,30,232,100
1,323,3234,3589,4109,153,1,23,220,26,11,658,204,0
1,324,3201,3667,4255,135,1,29,225,26,7,488,224,53
1,325,2903,5656,6046,171,1,16,244,10,5,212,211,236
1,326,2874,2869,3653,157,2,29,236,19,2,400,216,352
1,327,2903,5689,6195,176,1,16,244,3,6,212,206,254
1,328,2800,2244,2958,124,1,20,214,0,12,0,223,45
1,329,3257,3443,4246,167,1,23,227,52,9,693,199,336
1,330,3188,3634,4526,173,1,29,241,13,5,210,206,278
1,331,2952,4487,5251,130,2,29,223,30,8,192,227,62
1,332,2932,5797,6409,198,1,29,252,36,16,342,189,237
1,333,3050,5540,6162,169,2,12,240,85,4,630,209,281
1,334,2955,4302,5057,192,2,29,240,19,11,212,188,285
1,335,2791,1740,2294,111,2,12,201,-18,17,458,220,41
1,336,3172,3632,4624,153,1,29,240,7,3,180,222,162
1,337,3116,3870,4802,107,1,29,212,-6,14,297,234,69
1,338,2895,3326,4002,127,2,12,219,0,10,162,225,51
1,339,3182,3510,4585,138,1,29,235,7,6,134,230,122
1,340,3024,4152,5114,123,2,29,224,49,9,218,233,81
1,341,2962,5863,6356,183,2,29,246,66,9,480,201,251
1,342,2978,4780,5502,149,2,12,230,13,4,192,218,27
1,343,2952,4558,5268,124,2,12,213,0,12,323,221,40
1,344,2945,3768,4425,161,2,12,217,32,13,255,194,348
1,345,3149,3718,4831,159,1,29,245,17,7,134,221,188
1,346,2833,1953,2407,126,1,30,238,23,15,242,238,150
1,347,3136,3623,4858,158,1,29,248,4,10,42,222,185
1,348,2851,2538,3037,118,2,29,211,46,13,268,225,49
1,349,2933,3644,4221,129,2,12,231,20,8,300,234,111
1,350,2810,1871,2178,138,1,12,234,0,6,421,230,110
1,351,3267,3194,4518,119,1,40,223,62,10,484,235,85
1,352,3188,3340,4753,121,1,29,203,13,16,85,213,30
1,353,2955,3905,4475,145,2,12,229,42,5,426,220,37
1,354,3001,5893,6012,184,2,29,242,103,9,752,197,276
1,355,3008,5864,5998,187,2,29,241,110,10,780,194,281
1,356,2942,3707,4228,148,2,12,230,29,5,391,218,28
1,357,2921,3516,4024,169,2,12,230,8,9,395,200,331
1,358,2985,5023,5570,169,2,12,235,20,5,361,206,315
1,359,2978,4480,5007,198,2,12,238,42,14,570,179,289
1,360,2889,2689,3049,94,2,29,193,66,20,362,225,51
1,361,2814,2145,2316,145,2,12,235,4,3,210,225,103
1,362,2938,2896,3239,128,2,12,234,107,9,408,236,127
1,363,2828,2467,2714,116,2,29,224,15,11,127,238,95
1,364,3146,3287,5052,112,1,30,222,-28,12,240,239,95
1,365,2977,4283,4676,129,2,12,229,12,8,466,232,94
1,366,3034,5544,5490,151,2,12,234,46,2,680,220,45
1,367,3083,3320,5380,90,1,30,197,-9,19,192,232,61
1,368,3044,3481,5476,148,1,20,228,-25,5,210,217,23
1,369,2982,3695,5609,129,1,20,228,-35,8,242,232,90
1,370,2901,3181,3360,149,2,30,247,49,15,256,226,176
1,371,2995,4770,5126,135,2,29,227,13,6,247,227,66
1,372,2528,598,390,145,2,23,240,4,6,108,228,151
1,373,3188,2880,5166,128,1,29,231,3,8,60,235,112
1,374,2939,5619,5753,217,2,29,250,41,24,400,164,243
1,375,3008,5880,5600,176,2,29,251,112,11,696,209,215
1,376,3021,5855,5543,181,2,29,248,125,9,815,204,238
1,377,2937,4094,4354,118,2,12,221,15,11,330,234,80
1,378,2844,2758,2724,178,2,29,231,20,10,67,194,317
1,379,2781,2148,1707,154,2,29,233,25,3,351,216,13
1,380,2945,5615,5686,209,2,29,249,47,18,421,176,252
1,381,2857,3111,3161,127,2,30,237,8,12,85,238,143
1,382,3021,3544,5720,134,1,29,224,-12,7,258,224,53
1,383,2919,3992,6047,149,1,29,238,3,3,192,225,141
1,384,2800,2382,2001,158,2,12,246,22,9,170,222,185
1,385,2773,1680,983,119,5,30,237,119,18,350,240,151
1,386,2759,1590,895,115,5,30,234,105,17,300,242,144
1,387,2714,1470,779,85,5,30,217,93,20,242,250,117
1,388,2671,1350,664,58,5,30,200,55,26,175,253,109
1,389,2975,4763,4928,130,2,29,234,3,9,120,235,126
1,390,2775,1770,1061,113,5,30,234,101,19,335,242,148
1,391,2746,1620,912,119,5,30,236,92,18,268,240,149
1,392,2743,1590,883,114,5,30,235,89,19,255,242,148
1,393,2717,1500,794,98,5,30,220,79,16,201,246,108
1,394,2751,1680,967,119,5,30,234,77,14,277,241,136
1,395,2739,1620,908,116,5,30,232,75,14,242,242,131
1,396,2733,1590,878,111,5,30,231,79,16,228,244,133
1,397,2716,1500,789,105,5,30,225,62,15,175,245,117
1,398,2611,1200,495,103,5,30,220,2,14,30,243,99
1,399,3073,3060,5654,121,1,29,231,0,11,0,239,123
1,400,3060,3251,5755,136,2,29,244,16,18,95,232,167
1,401,2899,3944,4034,132,2,12,234,19,8,162,234,120
1,402,2861,3434,3406,129,2,23,231,0,8,30,234,107
1,403,2853,3342,3287,158,2,23,234,0,3,0,214,351
1,404,2785,2429,1860,165,2,12,247,18,8,134,217,202
1,405,2723,1560,845,108,5,30,228,69,16,190,245,127
1,406,2656,1350,636,72,5,30,208,35,23,85,252,110
1,407,3064,3111,5721,164,1,20,249,4,10,30,218,194
1,408,3050,3229,5783,140,2,29,244,6,16,67,231,167
1,409,3004,3500,5934,124,2,29,236,3,13,124,239,141
1,410,2952,3736,6078,123,2,29,218,16,10,201,228,58
1,411,3034,5550,5100,114,1,29,216,43,12,362,232,68
1,412,2703,1500,780,97,5,30,225,49,20,127,248,130
1,413,2685,1440,722,81,5,30,218,31,23,95,251,128
1,414,2661,1380,663,70,5,30,210,23,25,67,253,119
1,415,3057,3069,5740,144,1,20,234,0,4,0,226,101
1,416,3050,3127,5770,123,1,20,235,-3,13,30,240,139
1,417,3060,5700,5139,161,1,12,232,69,5,495,209,342
1,418,2945,4671,4737,114,1,23,208,0,14,0,225,49
1,419,2704,1530,797,99,5,30,224,40,18,124,247,123
1,420,2676,1440,713,79,5,30,217,22,24,67,251,129
1,421,2621,1290,571,103,5,30,214,0,14,0,238,81
1,422,3060,3046,5768,120,1,29,211,3,13,30,223,45
1,423,2975,3543,6039,114,2,29,232,7,15,124,243,136
1,424,3067,5739,5125,151,1,12,231,76,4,518,217,21
1,425,2719,1621,874,109,5,30,229,45,16,150,244,128
1,426,2638,1351,618,98,5,30,213,0,15,0,241,86
1,427,2700,1533,779,90,5,30,218,26,19,67,249,115
1,428,2673,1473,721,72,5,30,208,9,22,42,251,108
1,429,2654,1413,664,115,5,30,218,0,11,0,233,71
1,430,2664,1445,684,122,5,30,214,0,12,0,225,50
1,431,3050,5638,4978,127,1,29,225,59,8,360,231,80
1,432,2858,3288,3034,134,2,12,235,7,8,268,233,125
1,433,2854,3246,2974,146,2,12,243,5,9,285,229,163
1,434,3047,3182,5994,123,1,29,218,29,11,95,227,56
1,435,2873,3459,3242,159,2,12,230,11,6,201,210,351
1,436,2680,1511,730,136,5,29,214,0,12,0,213,23
1,437,2676,1481,700,144,5,29,212,2,14,30,204,9
1,438,2678,1421,641,142,5,29,209,7,15,42,202,9
1,439,2839,3055,2612,128,2,12,233,23,9,190,236,120
1,440,2792,2862,2282,132,2,12,229,4,7,228,230,86
1,441,3103,2870,5920,116,1,29,219,49,11,201,233,74
1,442,2995,5167,4670,146,2,29,213,13,14,201,202,6
1,443,2702,1727,932,151,2,20,236,0,1,0,221,90
1,444,2991,5024,4582,182,1,29,241,32,8,268,198,282
